category,description,link,datatype
KETTLEBELL_TRAINING,The user is training with a kettlebell.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
KICKBOXING,The user is kickboxing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
KICK_SCOOTER,The user is riding a kick scooter.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
KITESURFING,The user is kite-surfing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
MARTIAL_ARTS,The user is practicing martial arts.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
MEDITATION,The user is meditating.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
MIME_TYPE_PREFIX,The common prefix for activity MIME types.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
MIXED_MARTIAL_ARTS,The user is practicing mixed martial arts (MMA).,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
ON_FOOT,"This constant is deprecated. Use the more specific activity (for example RUNNING, WALKING, or RUNNING_JOGGING).",https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
OTHER,"The user is performing a generic fitness activity, which isn't classified.",https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
P90X,The user is performing P90X exercises.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
PARAGLIDING,The user is paragliding.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
PILATES,The user is performing pilates exercises.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
POLO,The user is playing polo (team sport on horseback).,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
RACQUETBALL,The user is playing racquetball.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
ROCK_CLIMBING,The user is rock climbing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
ROWING,The user is rowing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
ROWING_MACHINE,The user is using a rowing machine.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
RUGBY,The user is playing rugby.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
RUNNING,The user is running.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
RUNNING_JOGGING,The user is jogging.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
RUNNING_SAND,The user is running on sand.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
RUNNING_TREADMILL,The user is running on a treadmill.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SAILING,The user is sailing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SCUBA_DIVING,The user is scuba diving.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SKATEBOARDING,The user is skateboarding.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SKATING,The user is skating.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SKATING_CROSS,The user is cross skating.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
